serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,56,21,0,2747,38912,2.27031578E9,552191,495263,548873,2768,550,0.006008804
agent2,82,16,0,4578,38912,2.9486935E9,571666,437885,559347,4594,7725,0.021549284
agent3,73,14,0,5909,38912,1.89558042E9,464928,51742,458831,5923,174,0.013113856
agent4,65,18,0,4420,38912,1.61445683E9,164115,1530,159537,4438,140,0.027895093
agent5,93,18,0,3507,38912,2.18870477E9,95845,1790,92273,3525,47,0.03726852
agent6,68,19,0,2230,38912,1.39217638E9,23141,0,20892,2249,0,0.097186804
agent7,61,15,0,3104,38912,1.33157363E9,23371,15,20252,3119,0,0.13345599
agent8,74,16,0,4250,38912,1.17043981E9,288244,1415,283978,4266,0,0.0147999525
overall,572,137,0,30745,311296,1.4811946E10,2183501,989640,2143983,30882,8636,0.018098474
