serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,61,158,0,6937,81920,5.684564E9,7158477,3820297,7126878,7095,24504,0.004414201
agent2,102,74,0,5666,81920,4.4506004E9,3201112,731110,3180373,5740,14999,0.0064786673
agent3,90,16,0,4137,81920,1.8591264E9,650855,282100,619468,4153,27234,0.04822427
agent4,72,27,0,5316,81920,1.93741312E9,463895,151609,308914,5343,149638,0.33408636
agent5,88,34,0,4638,81920,3.0315881E9,449841,4422,445013,4672,156,0.01073271
agent6,61,22,0,2440,81920,1.46775424E9,332411,0,329949,2462,0,0.007406473
agent7,53,14,0,3774,81920,1.83732352E9,90950,86,87162,3788,0,0.041649282
agent8,68,14,0,4006,81920,1.09539661E9,64382,0,60362,4020,0,0.0624398
overall,595,359,0,36914,655360,2.13637693E10,12411923,4989624,12158119,37273,216531,0.020448387
