serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,133,76,9787,0,38912,3.36111974E9,6432256,0,5933964,9863,488429,0.07746768
agent2,180,73,33706,0,38912,3.34146125E9,4334468,0,3706914,33779,593775,0.14478225
agent3,107,56,704,0,38912,3.10054426E9,585419,0,584657,760,2,0.0013016462
agent4,46,37,24,0,38912,2.67702246E9,61353,0,61292,61,0,9.942651E-4
agent5,55,33,442,0,38912,3.21106586E9,116698,0,116223,475,0,0.0040703416
agent6,50,47,21,0,38912,2.87014758E9,52683,0,52615,68,0,0.0012907386
agent7,47,76,3334,0,38912,3.36127667E9,6837316,0,6378035,3410,455871,0.067172706
agent8,91,76,4800,0,38912,3.36158899E9,6354439,0,6208736,4876,140827,0.02292931
overall,709,474,52818,0,311296,2.52842312E10,24774632,0,23042436,53292,1678904,0.069918156
