serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,160,5204,0,81920,7.0382182E9,7890537,0,7795401,5364,89772,0.012056947
agent2,88,140,9565,0,81920,7.0198077E9,2704974,0,2666371,9705,28898,0.01427114
agent3,95,155,4334,0,81920,6.7214766E9,535996,0,487460,4489,44047,0.090552926
agent4,112,143,2866,0,81920,4.8304E9,359366,0,284264,3009,72093,0.20898473
agent5,120,102,1226,0,81920,5.9326664E9,442027,0,440667,1328,32,0.0030767322
agent6,50,112,4,0,81920,4.9949588E9,327990,0,327874,116,0,3.5369396E-4
agent7,53,52,218,0,81920,6.3337994E9,91034,0,90740,270,24,0.0032295585
agent8,47,52,0,0,81920,3.45865216E9,59999,0,59947,52,0,8.6665154E-4
overall,612,916,23417,0,655360,4.6329995E10,12411923,0,12152724,24333,234866,0.020883083
