serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,51,44,5910,0,38912,3.31952051E9,962999,0,778120,5954,178925,0.19198257
agent2,55,56,8298,0,38912,3.30602163E9,597109,0,585987,8354,2768,0.018626392
agent3,51,47,353,0,38912,3.16252851E9,140420,0,140020,400,0,0.0028486252
agent4,46,49,369,0,38912,3.29697792E9,115066,0,114647,418,1,0.003641367
agent5,58,40,215,0,38912,3.17994573E9,35823,0,35568,255,0,0.0071183443
agent6,50,41,27,0,38912,3.04428032E9,22699,0,22631,68,0,0.0029957294
agent7,53,36,104,0,38912,3.04204672E9,21972,0,21832,140,0,0.0063717365
agent8,46,61,308,0,38912,2.74791987E9,287413,0,286952,369,92,0.001603961
overall,410,374,15584,0,311296,2.50992415E10,2183501,0,1985757,15958,181786,0.09056282
