serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,53,908,0,50176,3.99316915E9,81695,0,80697,961,37,0.012216151
agent2,53,92,76456,0,50176,4.3299415E9,6228088,0,5583121,76548,568419,0.103557765
agent3,56,75,90,0,50176,4.08533018E9,346368,0,346203,165,0,4.7636032E-4
agent4,46,51,3,0,50176,3.02772173E9,31032,0,30978,54,0,0.0017401576
agent5,55,66,8415,0,50176,3.89536589E9,3929906,0,2673477,8481,1247948,0.31970966
agent6,93,63,8529,0,50176,3.8223721E9,564671,0,549809,8592,6270,0.026319742
agent7,103,104,255,0,50176,3.95926374E9,131714,0,131355,359,0,0.0027256012
agent8,46,49,24,0,50176,3.35467443E9,50227,0,50154,73,0,0.0014533997
overall,499,553,94680,0,401408,3.0467838E10,11363701,0,9445794,95233,1822674,0.16877484
