serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,39,528,0,40960,3.23427533E9,106632,0,66297,567,39768,0.37826353
agent2,62,41,403,0,40960,3.04658022E9,219424,0,217389,444,1591,0.009274304
agent3,43,54,547,0,40960,3.14379699E9,1009917,0,1009112,601,204,7.970929E-4
agent4,50,63,514,0,40960,3.35848166E9,256533,0,255956,577,0,0.0022492409
agent5,55,40,7536,0,40960,3.48032128E9,645767,0,514700,7576,123491,0.2029633
agent6,73,72,1747,0,40960,3.41061274E9,85633,0,83084,1819,730,0.02976656
agent7,60,52,263,0,40960,3.16543565E9,172938,0,172595,315,28,0.0019833446
agent8,46,49,40,0,40960,3.04686131E9,965882,0,965793,89,0,9.214878E-5
overall,436,410,11578,0,327680,2.58863698E10,3462726,0,3284926,11988,165812,0.05134684
