serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,321,167,2532,0,100352,8.5581716E9,272937,0,270238,2699,0,0.009888709
agent2,318,169,2532,0,100352,8.5539717E9,272938,0,270237,2701,0,0.00989604
agent3,314,169,2486,0,100352,8.5436984E9,272938,0,270283,2655,0,0.009727478
agent4,313,166,2539,0,100352,8.53551E9,272938,0,270233,2705,0,0.009910703
agent5,320,172,2510,0,100352,8.532439E9,272938,0,270256,2682,0,0.009826422
agent6,328,168,2418,0,100352,8.5623967E9,272938,0,270352,2586,0,0.009474695
agent7,331,171,2542,0,100352,8.5502863E9,272937,0,270224,2713,0,0.009940028
agent8,323,168,2608,0,100352,8.5606861E9,272937,0,270161,2776,0,0.010170817
overall,2568,1350,20167,0,802816,6.8397171E10,2183501,0,2161984,21517,0,0.009854376
