serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,338,290,3622,0,262144,2.12903977E10,341940,3747,337936,3912,92,0.0117096305
agent2,339,285,3368,0,262144,2.15017697E10,341929,3709,338210,3653,66,0.010876536
agent3,338,284,3370,0,262144,2.13639864E10,341894,3733,338172,3654,68,0.010886431
agent4,339,285,3130,0,262144,2.16145244E10,341905,3739,338427,3415,63,0.010172427
agent5,339,286,3481,0,262144,2.17390121E10,341911,3768,338057,3767,87,0.011271954
agent6,334,283,3705,0,262144,2.13709783E10,341941,3753,337856,3988,97,0.011946499
agent7,335,285,3336,0,262144,2.148642E10,341908,3728,338223,3621,64,0.0107777715
agent8,345,285,3120,0,262144,2.13376717E10,341901,3757,338418,3405,78,0.010187149
overall,2707,2283,27132,0,2097152,1.7170473E11,2735329,29934,2705299,29415,615,0.0109785795
