serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,328,164,3698,0,94208,8.0308644E9,388978,0,385116,3862,0,0.009928584
agent2,331,160,3635,0,94208,8.017898E9,388979,0,385184,3795,0,0.009756327
agent3,331,165,3668,0,94208,8.0377682E9,388979,0,385146,3833,0,0.009854019
agent4,331,160,3754,0,94208,8.0290995E9,388979,0,385065,3914,0,0.010062218
agent5,319,159,3548,0,94208,8.0391736E9,388978,0,385271,3707,0,0.009530127
agent6,326,162,3676,0,94208,8.0313313E9,388978,0,385140,3838,0,0.009866893
agent7,326,158,3608,0,94208,8.0263501E9,388978,0,385212,3766,0,0.009681761
agent8,336,164,3719,0,94208,8.0309929E9,388978,0,385095,3883,0,0.009982586
overall,2628,1292,29306,0,753664,6.4243466E10,3111827,0,3081229,30598,0,0.009832799
