serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,364,78,0,26559,67584,5.7189002E9,1425038,55542,1390252,26637,8149,0.024410605
agent2,359,92,0,27922,67584,5.7065636E9,1423120,52747,1388161,28014,6945,0.024565041
agent3,365,88,0,26869,67584,5.7242604E9,1420022,53378,1385716,26957,7349,0.024158776
agent4,363,84,0,24824,67584,5.723308E9,1416171,57569,1383481,24908,7782,0.023083389
agent5,358,98,0,27753,67584,5.7117952E9,1422383,55623,1387279,27851,7253,0.02467972
agent6,361,86,0,26428,67584,5.7203144E9,1419130,56968,1385044,26514,7572,0.024018943
agent7,362,89,0,26418,67584,5.7208535E9,1420272,56963,1386280,26507,7485,0.02393347
agent8,362,97,0,26178,67584,5.7181281E9,1417565,59911,1383568,26275,7722,0.023982704
overall,2894,712,0,212951,540672,4.5744095E10,11363701,448701,11089781,213663,60257,0.024104834
