serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,373,101,0,563,47104,4.06284595E9,3086755,396572,3055392,664,30699,0.010160506
agent2,367,103,0,708,47104,4.05982694E9,3115490,380788,3081054,811,33625,0.011053145
agent3,371,99,0,737,47104,4.0605801E9,3072205,404927,3037731,836,33638,0.01122123
agent4,370,96,0,634,47104,4.06192256E9,3096892,404703,3062572,730,33590,0.011082053
agent5,374,98,0,636,47104,4.06168986E9,3123231,375485,3092806,734,29691,0.009741485
agent6,372,100,0,555,47104,4.062752E9,3085911,385337,3055629,655,29627,0.009813011
agent7,376,95,0,652,47104,4.06080666E9,3099712,383242,3069245,747,29720,0.009828985
agent8,374,95,0,677,47104,4.06085837E9,3094436,384570,3062672,772,30992,0.0102648735
overall,2977,787,0,5162,376832,3.24912742E10,24774632,3115624,24517101,5949,251582,0.01039499
