serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,322,79,0,4134,100352,5.9620644E9,272946,0,268733,4213,0,0.015435278
agent2,318,80,0,4176,100352,5.9704545E9,272937,1,268681,4256,0,0.01559335
agent3,314,80,0,4212,100352,6.0290468E9,272935,4,268638,4292,5,0.015743673
agent4,313,86,0,4086,100352,5.9681935E9,272927,15,268752,4172,3,0.015297115
agent5,321,85,0,4127,100352,6.0061143E9,272953,0,268741,4212,0,0.015431225
agent6,328,78,0,4195,100352,6.023146E9,272937,1,268664,4273,0,0.015655637
agent7,331,82,0,4214,100352,5.994242E9,272938,0,268642,4296,0,0.015739858
agent8,323,76,0,4186,100352,5.9272013E9,272928,9,268665,4262,1,0.015619516
overall,2570,646,0,33330,802816,4.788045E10,2183501,30,2149516,33976,9,0.015564442
