serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,334,106,0,4154,94208,7.1302554E9,388829,5260,383593,4260,976,0.01346606
agent2,338,107,0,4084,94208,7.1845094E9,388813,5449,383271,4191,1351,0.014253616
agent3,338,108,0,4161,94208,7.1068728E9,389213,5245,383897,4269,1047,0.013658345
agent4,336,107,0,4151,94208,7.1456092E9,389256,4865,383667,4258,1331,0.014358163
agent5,329,114,0,4079,94208,7.0717911E9,388708,5128,383372,4193,1143,0.013727546
agent6,334,109,0,4064,94208,7.128277E9,388907,5152,383703,4173,1031,0.013381064
agent7,331,108,0,4057,94208,7.1864525E9,389186,4926,383879,4165,1142,0.013636172
agent8,338,112,0,4138,94208,7.0982103E9,388915,5078,383576,4250,1089,0.013727963
overall,2678,871,0,32888,753664,5.7051992E10,3111827,41103,3068958,33759,9110,0.0137761235
