serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,83,48,1560,0,50176,3.98718362E9,83814,66,82206,1608,0,0.019185364
agent2,57,89,75142,0,50176,4.3264215E9,5414768,831909,5339537,75231,0,0.013893664
agent3,45,55,8,0,50176,3.04343834E9,327824,0,327761,63,0,1.9216537E-4
agent4,46,51,3,0,50176,3.02772173E9,31032,0,30978,54,0,0.0017401576
agent5,101,66,10685,0,50176,4.2957988E9,2724440,2575801,2713689,10751,0,0.0039461255
agent6,103,40,12176,0,50176,3.82720563E9,1787692,30812,1775476,12216,0,0.0068333745
agent7,97,100,989,0,50176,3.98692813E9,158404,0,157315,1089,0,0.0068747997
agent8,90,83,2540,0,50176,3.59721882E9,835727,0,833104,2623,0,0.0031386018
overall,622,532,103103,0,401408,3.00919071E10,11363701,3438588,11260066,103635,0,0.009119809
