serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,81,39,705,0,40960,3.34261504E9,69088,42326,68270,744,74,0.011839986
agent2,79,42,892,0,40960,3.08049254E9,227520,32035,226586,934,0,0.0041051507
agent3,69,55,809,0,40960,3.15897907E9,1015816,25571,1014952,864,0,8.505583E-4
agent4,72,53,1286,0,40960,3.35867162E9,281042,18178,261689,1339,18014,0.068861604
agent5,79,41,7596,0,40960,3.48666726E9,522979,128271,515199,7637,143,0.014876306
agent6,80,80,2708,0,40960,3.41585562E9,185644,23960,182856,2788,0,0.015017986
agent7,71,56,722,0,40960,3.2755264E9,190954,3716,190176,778,0,0.0040742755
agent8,67,55,472,0,40960,3.29447654E9,969683,635,968833,527,323,8.765459E-4
overall,598,421,15190,0,327680,2.64132874E10,3462726,274692,3428561,15611,18554,0.009866476
