serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,95,22,0,100352,8.108224E9,1046329,0,1046212,117,0,1.1181831E-4
agent2,47,144,61,0,100352,7.863466E9,513985,0,513780,205,0,3.9881468E-4
agent3,40,63,0,0,100352,4.10520653E9,139822,0,139759,63,0,4.505515E-4
agent4,46,130,15,0,100352,7.1176412E9,115070,0,114925,145,0,0.0012601018
agent5,55,78,2,0,100352,5.7134725E9,35819,0,35739,80,0,0.0022334456
agent6,50,52,0,0,100352,3.60275072E9,22699,0,22647,52,0,0.002290845
agent7,53,66,0,0,100352,4.7350267E9,21972,0,21906,66,0,0.0030038357
agent8,46,133,8,0,100352,5.3249654E9,287805,0,287664,141,0,4.898906E-4
overall,384,761,108,0,802816,4.6570758E10,2183501,0,2182632,869,0,3.979802E-4
