serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,71,6,0,83968,5.9735644E9,87205,0,87128,77,0,8.829832E-4
agent2,47,77,10,0,83968,5.6140216E9,489727,0,489640,87,0,1.7762184E-4
agent3,40,85,0,0,83968,4.3225974E9,2196853,0,2196768,85,0,3.8683414E-5
agent4,46,50,0,0,83968,3.09595315E9,143645,0,143595,50,0,3.4809113E-4
agent5,55,81,15,0,83968,5.6728136E9,137164,0,137068,96,0,6.9987774E-4
agent6,50,149,562,0,83968,6.8553549E9,411282,0,410571,711,0,0.0017287135
agent7,53,153,357,0,83968,5.3097452E9,149765,0,148863,510,392,0.0060227513
agent8,58,100,6,0,83968,4.28336563E9,49899,0,49793,106,0,0.0021243095
overall,396,766,956,0,671744,4.1127432E10,3665540,0,3663426,1722,392,5.7673454E-4
