serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,142,92,14000,0,47104,4.0574505E9,7083166,0,5920025,14092,1149049,0.16421205
agent2,152,73,18606,0,47104,3.97468314E9,1229607,0,1198771,18679,12157,0.025077939
agent3,94,61,181,0,47104,3.09325798E9,546692,0,546450,242,0,4.426837E-4
agent4,46,41,14,0,47104,2.84622234E9,61353,0,61298,55,0,8.9645386E-4
agent5,55,40,146,0,47104,3.71066445E9,116698,0,116512,186,0,0.0015938282
agent6,50,52,10,0,47104,3.194432E9,52683,0,52621,62,0,0.0011768341
agent7,47,92,2578,0,47104,4.06920422E9,8054108,0,7721809,2670,329629,0.041258335
agent8,92,92,4902,0,47104,4.06930662E9,7630325,0,7512420,4994,112911,0.0154521465
overall,678,543,40437,0,376832,2.90152161E10,24774632,0,23129906,40980,1603746,0.066387534
