serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,47,91,6,0,94208,6.1269197E9,152427,0,152330,97,0,6.363988E-4
agent2,47,77,0,0,94208,5.041343E9,132179,0,132102,77,0,5.825162E-4
agent3,40,93,1270,0,94208,6.2467487E9,810792,0,804436,1363,4993,0.0078392625
agent4,51,130,275,0,94208,4.10693786E9,191675,0,191270,405,0,0.002112925
agent5,55,67,5,0,94208,6.4295752E9,27862,0,27790,72,0,0.0025841594
agent6,50,76,30,0,94208,6.8613658E9,50428,0,50322,106,0,0.0021020174
agent7,53,74,0,0,94208,4.9160238E9,216591,0,216517,74,0,3.4165382E-4
agent8,46,82,0,0,94208,4.3746647E9,1529873,0,1529791,82,0,5.3584576E-5
overall,389,690,1586,0,753664,4.4103578E10,3111827,0,3104558,2276,4993,0.002335906
