serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,56,159,0,901,81920,5.7241452E9,7154323,3823810,7137366,1060,15897,0.0023701787
agent2,89,65,0,1331,81920,4.4924964E9,3203907,731703,3184261,1396,18250,0.0061318874
agent3,79,18,0,1107,81920,1.91982195E9,646262,298023,627340,1125,17797,0.029279172
agent4,67,31,0,598,81920,2.08902822E9,485326,164547,313168,629,171529,0.3547265
agent5,86,54,0,1117,81920,3.53403955E9,433928,9082,432566,1171,191,0.0031387806
agent6,66,27,0,777,81920,1.65711117E9,336942,0,336138,804,0,0.0023861527
agent7,53,18,0,428,81920,2.02701862E9,90950,86,90504,446,0,0.0049037933
agent8,67,16,0,318,81920,1.20728742E9,60285,0,59951,334,0,0.005540371
overall,563,388,0,6577,655360,2.26509496E10,12411923,5027251,12181294,6965,223664,0.018581271
