serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,136,26,0,357,23040,1.84197798E9,161944,46542,141824,383,19737,0.12424046
agent2,119,28,0,477,23040,1.76923994E9,166565,78676,137097,505,28963,0.17691594
agent3,116,43,0,438,23040,1.91763136E9,763903,109607,759964,481,3458,0.005156398
agent4,125,27,0,502,23040,1.8922985E9,170523,60842,155116,529,14878,0.09035146
agent5,139,22,0,823,23040,1.71597389E9,54873,38305,52300,845,1728,0.04689008
agent6,143,29,0,504,23040,1.82826086E9,48506,12933,46875,533,1098,0.03362471
agent7,142,28,0,438,23040,1.88631885E9,240002,15069,235253,466,4283,0.019787312
agent8,128,40,0,163,23040,1.96537472E9,1505511,87118,1504172,203,1136,8.894205E-4
overall,1048,243,0,3702,184320,1.48170721E10,3111827,449092,3032601,3945,75281,0.025459647
