serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,81,30,0,884,50176,3.2551168E9,88439,5446,87290,914,235,0.012992024
agent2,73,91,0,29,50176,4.3305339E9,5469241,781563,5468489,120,632,1.3750792E-4
agent3,83,20,0,632,50176,1.53871283E9,337196,385,336540,652,4,0.001945436
agent4,98,20,0,534,50176,1.49595379E9,32883,0,32329,554,0,0.01684761
agent5,103,58,0,420,50176,4.21189555E9,2135062,3111302,2129318,478,5266,0.0026903152
agent6,94,38,0,485,50176,3.42059264E9,2027040,728944,2025136,523,1381,9.393096E-4
agent7,106,24,0,850,50176,2.56979558E9,839537,7852,838450,874,213,0.0012947321
agent8,103,36,0,985,50176,2.82816128E9,434303,8228,431268,1021,2014,0.0069882274
overall,741,317,0,4819,401408,2.36507546E10,11363701,4643720,11348820,5136,9745,0.001309514
