serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,123,75,0,51,38912,3.35908147E9,5351475,7511965,5350920,126,429,1.0371208E-4
agent2,84,40,0,601,38912,2.76571136E9,1450958,1118,1450251,641,66,4.8726797E-4
agent3,82,34,0,481,38912,2.31231795E9,562695,378,562166,515,14,9.4014406E-4
agent4,121,75,0,33,38912,3.35471411E9,4986321,11428138,4984030,108,2183,4.594326E-4
agent5,80,23,0,463,38912,2.0791241E9,117869,2,117383,486,0,0.004123211
agent6,95,77,0,27,38912,3.35874432E9,6437533,1918220,4534185,104,1903244,0.2956642
agent7,88,80,0,10,38912,3.36198298E9,5752736,16353562,5736063,90,16583,0.0028982759
agent8,51,17,0,310,38912,1.11161216E9,115045,540,114712,327,6,0.0028945208
overall,724,421,0,1976,311296,2.1703295E10,24774632,37213923,22849710,2397,1922525,0.07769728
