serverName,FinalDeployedFunCount,FinalDeployedInstanceCount,TotalEvictionCount,TotalReleaseCount,MemorySize,MemoryUsageRate,ReceivedRequestCount,RedirectedCount,WarmStartCount,ColdStartCount,DropCount,SloViolationRate
agent1,51,21,0,1266,38912,2.39931571E9,541233,507961,538534,1287,1412,0.004986763
agent2,72,47,0,683,38912,3.15283405E9,535253,486900,531271,730,3252,0.007439494
agent3,63,16,0,1317,38912,2.15759514E9,490097,96900,488079,1333,685,0.0041175485
agent4,63,21,0,814,38912,1.82797133E9,208290,3399,206027,835,1428,0.010864675
agent5,88,21,0,963,38912,2.09935949E9,75139,952,74103,984,52,0.013787806
agent6,67,23,0,384,38912,1.54495091E9,22913,0,22506,407,0,0.01776284
agent7,60,18,0,439,38912,1.45148864E9,23358,37,22900,457,1,0.019607842
agent8,62,17,0,491,38912,1.28789786E9,287218,1424,286691,508,19,0.0018348694
overall,526,184,0,6357,311296,1.59214141E10,2183501,1097573,2170111,6541,6849,0.0061323643
